================================================================================
     MEMORY ACCUMULATION AND PERFORMANCE DEGRADATION BENCHMARK     
================================================================================
Connecting to Cassandra...
Connected to the keyspace network_giustino


Starting incremental injection (Batch Size: 2000 users, Max Cap: 1000000).
The test will terminate if latency remains >= 2.0x the baseline for 3 consecutive batches.
--------------------------------------------------------------------------------
[BATCH #58] Inserted 2000 users | Total: 116000 | Payload Size: ~116000 KB | Latency: 820.48 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #59] Inserted 2000 users | Total: 118000 | Payload Size: ~118000 KB | Latency: 764.07 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #60] Inserted 2000 users | Total: 120000 | Payload Size: ~120000 KB | Latency: 1166.64 ms | Delta vs Base: 0.25x (Streak: 0/3) | Status: OK
[BATCH #61] Inserted 2000 users | Total: 122000 | Payload Size: ~122000 KB | Latency: 4606.00 ms | Delta vs Base: 0.97x (Streak: 0/3) | Status: OK
[BATCH #62] Inserted 2000 users | Total: 124000 | Payload Size: ~124000 KB | Latency: 785.87 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #63] Inserted 2000 users | Total: 126000 | Payload Size: ~126000 KB | Latency: 811.79 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #64] Inserted 2000 users | Total: 128000 | Payload Size: ~128000 KB | Latency: 1162.33 ms | Delta vs Base: 0.24x (Streak: 0/3) | Status: OK
[BATCH #65] Inserted 2000 users | Total: 130000 | Payload Size: ~130000 KB | Latency: 833.73 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #66] Inserted 2000 users | Total: 132000 | Payload Size: ~132000 KB | Latency: 2797.65 ms | Delta vs Base: 0.59x (Streak: 0/3) | Status: OK
[BATCH #67] Inserted 2000 users | Total: 134000 | Payload Size: ~134000 KB | Latency: 3907.69 ms | Delta vs Base: 0.82x (Streak: 0/3) | Status: OK
[BATCH #68] Inserted 2000 users | Total: 136000 | Payload Size: ~136000 KB | Latency: 3026.74 ms | Delta vs Base: 0.64x (Streak: 0/3) | Status: OK
[BATCH #69] Inserted 2000 users | Total: 138000 | Payload Size: ~138000 KB | Latency: 1310.22 ms | Delta vs Base: 0.28x (Streak: 0/3) | Status: OK
[BATCH #70] Inserted 2000 users | Total: 140000 | Payload Size: ~140000 KB | Latency: 4964.46 ms | Delta vs Base: 1.04x (Streak: 0/3) | Status: OK
[BATCH #71] Inserted 2000 users | Total: 142000 | Payload Size: ~142000 KB | Latency: 910.74 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #72] Inserted 2000 users | Total: 144000 | Payload Size: ~144000 KB | Latency: 824.88 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #73] Inserted 2000 users | Total: 146000 | Payload Size: ~146000 KB | Latency: 822.70 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #74] Inserted 2000 users | Total: 148000 | Payload Size: ~148000 KB | Latency: 837.88 ms | Delta vs Base: 0.18x (Streak: 0/3) | Status: OK
[BATCH #75] Inserted 2000 users | Total: 150000 | Payload Size: ~150000 KB | Latency: 1011.91 ms | Delta vs Base: 0.21x (Streak: 0/3) | Status: OK
[BATCH #76] Inserted 2000 users | Total: 152000 | Payload Size: ~152000 KB | Latency: 778.14 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #77] Inserted 2000 users | Total: 154000 | Payload Size: ~154000 KB | Latency: 815.27 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #78] Inserted 2000 users | Total: 156000 | Payload Size: ~156000 KB | Latency: 770.07 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #79] Inserted 2000 users | Total: 158000 | Payload Size: ~158000 KB | Latency: 911.57 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #80] Inserted 2000 users | Total: 160000 | Payload Size: ~160000 KB | Latency: 764.45 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #81] Inserted 2000 users | Total: 162000 | Payload Size: ~162000 KB | Latency: 1109.03 ms | Delta vs Base: 0.23x (Streak: 0/3) | Status: OK
[BATCH #82] Inserted 2000 users | Total: 164000 | Payload Size: ~164000 KB | Latency: 746.53 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #83] Inserted 2000 users | Total: 166000 | Payload Size: ~166000 KB | Latency: 915.82 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #84] Inserted 2000 users | Total: 168000 | Payload Size: ~168000 KB | Latency: 816.32 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #85] Inserted 2000 users | Total: 170000 | Payload Size: ~170000 KB | Latency: 814.48 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #86] Inserted 2000 users | Total: 172000 | Payload Size: ~172000 KB | Latency: 1011.83 ms | Delta vs Base: 0.21x (Streak: 0/3) | Status: OK
[BATCH #87] Inserted 2000 users | Total: 174000 | Payload Size: ~174000 KB | Latency: 884.59 ms | Delta vs Base: 0.19x (Streak: 0/3) | Status: OK
[BATCH #88] Inserted 2000 users | Total: 176000 | Payload Size: ~176000 KB | Latency: 828.29 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #89] Inserted 2000 users | Total: 178000 | Payload Size: ~178000 KB | Latency: 784.20 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #90] Inserted 2000 users | Total: 180000 | Payload Size: ~180000 KB | Latency: 987.12 ms | Delta vs Base: 0.21x (Streak: 0/3) | Status: OK
[BATCH #91] Inserted 2000 users | Total: 182000 | Payload Size: ~182000 KB | Latency: 738.11 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #92] Inserted 2000 users | Total: 184000 | Payload Size: ~184000 KB | Latency: 2864.37 ms | Delta vs Base: 0.60x (Streak: 0/3) | Status: OK
[BATCH #93] Inserted 2000 users | Total: 186000 | Payload Size: ~186000 KB | Latency: 967.47 ms | Delta vs Base: 0.20x (Streak: 0/3) | Status: OK
[BATCH #94] Inserted 2000 users | Total: 188000 | Payload Size: ~188000 KB | Latency: 965.38 ms | Delta vs Base: 0.20x (Streak: 0/3) | Status: OK
[BATCH #95] Inserted 2000 users | Total: 190000 | Payload Size: ~190000 KB | Latency: 734.33 ms | Delta vs Base: 0.15x (Streak: 0/3) | Status: OK
[BATCH #96] Inserted 2000 users | Total: 192000 | Payload Size: ~192000 KB | Latency: 807.07 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
[BATCH #97] Inserted 2000 users | Total: 194000 | Payload Size: ~194000 KB | Latency: 750.39 ms | Delta vs Base: 0.16x (Streak: 0/3) | Status: OK
[BATCH #98] Inserted 2000 users | Total: 196000 | Payload Size: ~196000 KB | Latency: 823.93 ms | Delta vs Base: 0.17x (Streak: 0/3) | Status: OK
